Authors,Year,Title,Abstract,Journal,Volume,Issue,Pages,DOI
M. Cerles and S. Rousset,2012,Bias in self-motion perceived speed can enhance episodic memory,"Prior experiences of a stimulus facilitate reprocessing of that stimulus on a subsequent occasion. This relative ease and speed with which information is processed is defined as fluency and can constitute a basis for memory judgment. Fluency can also be manipulated on line by perceptual bias (e.g., levels of noise), leading to an increase in recognition for items processed more fluently (e.g., items with less noise). Previous experiments using Remember-Know paradigm have shown an impact of perceptual fluency only on familiarity and not on recollection. Recent episodic memory models have postulated a strong link between episodic memory and spatial processes, especially with egocentric updating (Gomez et al. in Acta Psychol 132(3):221-227, 2009). The present experiment was conducted to determine whether self-motion fluency affects recognition performance and particularly has an impact on Remember responses. Thirty participants learned a 4-min path movie and then had to recognize among short paths if they were part of the learned path, followed by a Remember-Know procedure for recognized items. Self-motion fluency was manipulated with the presence of nimble acceleration applied on a small part of the recognition paths. Results show that the presence of a self-motion fluency increases significantly the proportion of remember responses solely on learned paths. This study spotlights for the first time a specific fluency effect on recollection and indicates an implication of egocentric-updating processing in episodic memory retrieval.",Cognitive processing,13 Suppl 1,Suppl 1,S121-S124,
"D. Chan, L. M. Gallaher, K. Moodley, L. Minati, N. Burgess and T. Hartley",2016,The 4 Mountains Test: A Short Test of Spatial Memory with High Sensitivity for the Diagnosis of Pre-dementia Alzheimer's Disease,"This protocol describes the administration of the 4 Mountains Test (4MT), a short test of spatial memory, in which memory for the topographical layout of four mountains within a computer-generated landscape is tested using a delayed match-to-sample paradigm. Allocentric spatial memory is assessed by altering the viewpoint, colors and textures between the initially presented and target images. Allocentric spatial memory is a key function of the hippocampus, one of the earliest brain regions to be affected in Alzheimer's disease (AD) and impairment of hippocampal function predates the onset of dementia. It was hypothesized that performance on the 4MT would aid the diagnosis of predementia AD, which manifests clinically as Mild Cognitive Impairment (MCI). The 4MT was applied to patients with MCI, stratified further based on cerebrospinal fluid (CSF) AD biomarker status (10 MCI biomarker positive, 9 MCI biomarker negative), and with mild AD dementia, as well as healthy controls. Comparator tests included tests of episodic memory and attention widely accepted as sensitive measures of early AD. Behavioral data were correlated with quantitative MRI measures of the hippocampus, precuneus and posterior cingulate gyrus. 4MT scores were significantly different between the two MCI groups (p = 0.001), with a test score of ≤8/15 associated with 100% sensitivity and 78% specificity for the classification of MCI with positive AD biomarkers, i.e., predementia AD. 4MT test scores correlated with hippocampal volume (r = 0.42) and cortical thickness of the precuneus (r = 0.55). In conclusion, the 4MT is effective in identifying the early stages of AD. The short duration, easy application and scoring, and favorable psychometric properties of the 4MT fulfil the need for a simple but accurate diagnostic test for predementia AD.",Journal of visualized experiments : JoVE,,116,,10.3791/54454
"L. J. Chareyron, P. Banta Lavenex, D. G. Amaral and P. Lavenex",2017,Functional organization of the medial temporal lobe memory system following neonatal hippocampal lesion in rhesus monkeys,"Hippocampal damage in adult humans impairs episodic and semantic memory, whereas hippocampal damage early in life impairs episodic memory but leaves semantic learning relatively preserved. We have previously shown a similar behavioral dissociation in nonhuman primates. Hippocampal lesion in adult monkeys prevents allocentric spatial relational learning, whereas spatial learning persists following neonatal lesion. Here, we quantified the number of cells expressing the immediate-early gene c-fos, a marker of neuronal activity, to characterize the functional organization of the medial temporal lobe memory system following neonatal hippocampal lesion. Ninety minutes before brain collection, three control and four adult monkeys with bilateral neonatal hippocampal lesions explored a novel environment to activate brain structures involved in spatial learning. Three other adult monkeys with neonatal hippocampal lesions remained in their housing quarters. In unlesioned monkeys, we found high levels of c-fos expression in the intermediate and caudal regions of the entorhinal cortex, and in the perirhinal, parahippocampal, and retrosplenial cortices. In lesioned monkeys, spatial exploration induced an increase in c-fos expression in the intermediate field of the entorhinal cortex, the perirhinal, parahippocampal, and retrosplenial cortices, but not in the caudal entorhinal cortex. These findings suggest that different regions of the medial temporal lobe memory system may require different types of interaction with the hippocampus in support of memory. The caudal perirhinal cortex, the parahippocampal cortex, and the retrosplenial cortex may contribute to spatial learning in the absence of functional hippocampal circuits, whereas the caudal entorhinal cortex may require hippocampal output to support spatial learning.",Brain structure & function,222,9,3899-3914,10.1007/s00429-017-1441-z
"G. F. Chen, L. L. Liu, J. F. Cui, T. Chen, X. J. Qin, J. C. Gan, B. Bi, D. L. Neumann, D. H. K. Shum, Y. Wang and R. C. K. Chan",2017,Life review therapy enhances mental time travel in patients with schizophrenia,"Mental Time Travel (MTT) is the ability of individuals to project themselves to the past or to the future. Studies have shown that schizophrenia (SZ) patients are impaired in MTT. The present study aimed to examine whether MTT in patients with SZ can be improved through Life Review Therapy. Fifty patients with SZ were randomly assigned to the training (SZ-training) or control (SZ-control) group. Whereas the SZ-training group received four-week Life Review Therapy in addition to conventional treatment, the SZ-control group only received conventional treatment. MTT, emotional status, life satisfaction and cognitive functions were assessed before and after the training. We also recruited 25 matched healthy controls to complete all the assessments at baseline. After training, the SZ-training group showed higher specificity and more field perspective than the SZ-control group. No significant difference was found between the SZ-training group post-training assessment and the healthy controls. The SZ-training group also showed significant improvements in emotional expression, semantic memory and verbal fluency, but the SZ-control group did not show such improvements. These results indicated that Life Review Therapy is effective in improving MTT of SZ patients.",Psychiatry Res,258,,145-152,10.1016/j.psychres.2017.10.002
Y. Chen and J. D. Crawford,2017,Cortical Activation during Landmark-Centered vs. Gaze-Centered Memory of Saccade Targets in the Human: An FMRI Study,"A remembered saccade target could be encoded in egocentric coordinates such as gaze-centered, or relative to some external allocentric landmark that is independent of the target or gaze (landmark-centered). In comparison to egocentric mechanisms, very little is known about such a landmark-centered representation. Here, we used an event-related fMRI design to identify brain areas supporting these two types of spatial coding (i.e., landmark-centered vs. gaze-centered) for target memory during the Delay phase where only target location, not saccade direction, was specified. The paradigm included three tasks with identical display of visual stimuli but different auditory instructions: Landmark Saccade (remember target location relative to a visual landmark, independent of gaze), Control Saccade (remember original target location relative to gaze fixation, independent of the landmark), and a non-spatial control, Color Report (report target color). During the Delay phase, the Control and Landmark Saccade tasks activated overlapping areas in posterior parietal cortex (PPC) and frontal cortex as compared to the color control, but with higher activation in PPC for target coding in the Control Saccade task and higher activation in temporal and occipital cortex for target coding in Landmark Saccade task. Gaze-centered directional selectivity was observed in superior occipital gyrus and inferior occipital gyrus, whereas landmark-centered directional selectivity was observed in precuneus and midposterior intraparietal sulcus. During the Response phase after saccade direction was specified, the parietofrontal network in the left hemisphere showed higher activation for rightward than leftward saccades. Our results suggest that cortical activation for coding saccade target direction relative to a visual landmark differs from gaze-centered directional selectivity for target memory, from the mechanisms for other types of allocentric tasks, and from the directionally selective mechanisms for saccade planning and execution.",Front Syst Neurosci,11,,44,10.3389/fnsys.2017.00044
"Y. Chen, S. Monaco, P. Byrne, X. Yan, D. Y. Henriques and J. D. Crawford",2014,Allocentric versus egocentric representation of remembered reach targets in human cortex,"The location of a remembered reach target can be encoded in egocentric and/or allocentric reference frames. Cortical mechanisms for egocentric reach are relatively well described, but the corresponding allocentric representations are essentially unknown. Here, we used an event-related fMRI design to distinguish human brain areas involved in these two types of representation. Our paradigm consisted of three tasks with identical stimulus display but different instructions: egocentric reach (remember absolute target location), allocentric reach (remember target location relative to a visual landmark), and a nonspatial control, color report (report color of target). During the delay phase (when only target location was specified), the egocentric and allocentric tasks elicited widely overlapping regions of cortical activity (relative to the control), but with higher activation in parietofrontal cortex for egocentric task and higher activation in early visual cortex for allocentric tasks. In addition, egocentric directional selectivity (target relative to gaze) was observed in the superior occipital gyrus and the inferior occipital gyrus, whereas allocentric directional selectivity (target relative to a visual landmark) was observed in the inferior temporal gyrus and inferior occipital gyrus. During the response phase (after movement direction had been specified either by reappearance of the visual landmark or a pro-/anti-reach instruction), the parietofrontal network resumed egocentric directional selectivity, showing higher activation for contralateral than ipsilateral reaches. These results show that allocentric and egocentric reach mechanisms use partially overlapping but different cortical substrates and that directional specification is different for target memory versus reach response.",J Neurosci,34,37,12515-12526,10.1523/JNEUROSCI.1445-14.2014
"Y. Chen, S. Monaco and J. D. Crawford",2018,Neural substrates for allocentric-to-egocentric conversion of remembered reach targets in humans,"Targets for goal-directed action can be encoded in allocentric coordinates (relative to another visual landmark), but it is not known how these are converted into egocentric commands for action. Here, we investigated this using a slow event-related fMRI paradigm, based on our previous behavioural finding that the allocentric-to-egocentric (Allo-Ego) conversion for reach is performed at the first possible opportunity. Participants were asked to remember (and eventually reach towards) the location of a briefly presented target relative to another visual landmark. After a first memory delay, participants were forewarned by a verbal instruction if the landmark would reappear at the same location (potentially allowing them to plan a reach following the auditory cue before the second delay), or at a different location where they had to wait for the final landmark to be presented before response, and then reach towards the remembered target location. As predicted, participants showed landmark-centred directional selectivity in occipital-temporal cortex during the first memory delay, and only developed egocentric directional selectivity in occipital-parietal cortex during the second delay for the 'Same cue' task, and during response for the 'Different cue' task. We then compared cortical activation between these two tasks at the times when the Allo-Ego conversion occurred, and found common activation in right precuneus, right presupplementary area and bilateral dorsal premotor cortex. These results confirm that the brain converts allocentric codes to egocentric plans at the first possible opportunity, and identify the four most likely candidate sites specific to the Allo-Ego transformation for reaches.",Eur J Neurosci,47,8,901-917,10.1111/ejn.13885
Z. Cheng and Y. She,2018,The effects of autobiographical memory and visual perspective on working memory,"The present research aims to explore whether recalling and writing about autobiographical memory from different perspectives (first-person perspective vs. third-person perspective) could affect cognitive function. The participants first performed a working memory task to evaluate their working memory capacity as a baseline and then were instructed to recall (Study 1) or write about (Study 2) personal events (failures vs. successes) from the first-person perspective or the third-person perspective. Finally, they performed the working memory task again. The results suggested that autobiographical memory and perspective influence working memory interactively. When recalling a success, the participants who recalled from the third-person perspective performed better than those who recalled from the first-person perspective on the working memory capacity task; when recalling a failure, the opposite was true.","Memory (Hove, England)",26,7,913-921,10.1080/09658211.2018.1455874
F. Chersi and N. Burgess,2015,The Cognitive Architecture of Spatial Navigation: Hippocampal and Striatal Contributions,"Spatial navigation can serve as a model system in cognitive neuroscience, in which specific neural representations, learning rules, and control strategies can be inferred from the vast experimental literature that exists across many species, including humans. Here, we review this literature, focusing on the contributions of hippocampal and striatal systems, and attempt to outline a minimal cognitive architecture that is consistent with the experimental literature and that synthesizes previous related computational modeling. The resulting architecture includes striatal reinforcement learning based on egocentric representations of sensory states and actions, incidental Hebbian association of sensory information with allocentric state representations in the hippocampus, and arbitration of the outputs of both systems based on confidence/uncertainty in medial prefrontal cortex. We discuss the relationship between this architecture and learning in model-free and model-based systems, episodic memory, imagery, and planning, including some open questions and directions for further experiments.",Neuron,88,1,64-77,10.1016/j.neuron.2015.09.021
"C. Chu, J. M. Buchman-Schmitt and T. E. Joiner",2015,Autobiographical memory perspectives in task and suicide attempt recall: A study of young adults with and without symptoms of suicidality,"Memories recalled from the field, or first person, perspective tend to be specific, more detail-oriented, and emotional. In contrast, memories from the observer, or third person, perspective, tend to be more general, less detail-oriented and emotional. Research suggests that individuals with a history of suicidality exhibit over-general autobiographical memories (i.e., lacking in detail). We propose that individuals with a history of suicidality may encode and recall memories more from the observer perspective, which is associated with recalling fewer details about events. This hypothesis was tested by examining the memory perspectives of 107 young adults with and without symptoms of suicidality during task and event recall. Compared to controls, suicide attempters recalled tasks and neutral events significantly less from the observer perspective and more from the field perspective; suicide ideators and controls were not significantly different on recall perspectives. No significant differences in negative event and suicide attempt recall were found across groups. Results indicated that suicide attempters exhibited a recall bias towards first person, internally focused memories. Limitations and future directions are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Cognitive Therapy and Research,39,6,766-775,10.1007/s10608-015-9704-6
"E. Ciaramelli, R. S. Rosenbaum, S. Solcz, B. Levine and M. Moscovitch",2010,Mental space travel: Damage to posterior parietal cortex prevents egocentric navigation and reexperiencing of remote spatial memories,"The ability to navigate in a familiar environment depends on both an intact mental representation of allocentric spatial information and the integrity of systems supporting complementary egocentric representations. Although the hippocampus has been implicated in learning new allocentric spatial information, converging evidence suggests that the posterior parietal cortex (PPC) might support egocentric representations. To date, however, few studies have examined long-standing egocentric representations of environments learned long ago. Here we tested 7 patients with focal lesions in PPC and 12 normal controls in remote spatial memory tasks, including 2 tasks reportedly reliant on allocentric representations (distance and proximity judgments) and 2 tasks reportedly reliant on egocentric representations (landmark sequencing and route navigation; see Rosenbaum, Ziegler, Winocur, Grady, & Moscovitch, 2004). Patients were unimpaired in distance and proximity judgments. In contrast, they all failed in route navigation, and left-lesioned patients also showed marginally impaired performance in landmark sequencing. Patients' subjective experience associated with navigation was impoverished and disembodied compared with that of the controls. These results suggest that PPC is crucial for accessing remote spatial memories within an egocentric reference frame that enables both navigation and reexperiencing. Additionally, PPC was found to be necessary to implement specific aspects of allocentric navigation with high demands on spontaneous retrieval. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","Journal of Experimental Psychology: Learning, Memory, and Cognition",36,3,619-634,10.1037/a0019181
"E. Cole, R. E. Mistlberger, D. Merza, L. J. Trigiani, D. Madularu, A. Simundic and D. G. Mumby",2016,Circadian time-place (or time-route) learning in rats with hippocampal lesions,"Circadian time-place learning (TPL) is the ability to remember both the place and biological time of day that a significant event occurred (e.g., food availability). This ability requires that a circadian clock provide phase information (a time tag) to cognitive systems involved in linking representations of an event with spatial reference memory. To date, it is unclear which neuronal substrates are critical in this process, but one candidate structure is the hippocampus (HPC). The HPC is essential for normal performance on tasks that require allocentric spatial memory and exhibits circadian rhythms of gene expression that are sensitive to meal timing. Using a novel TPL training procedure and enriched, multidimensional environment, we trained rats to locate a food reward that varied between two locations relative to time of day. After rats acquired the task, they received either HPC or SHAM lesions and were re-tested. Rats with HPC lesions were initially impaired on the task relative to SHAM rats, but re-attained high scores with continued testing. Probe tests revealed that the rats were not using an alternation strategy or relying on light-dark transitions to locate the food reward. We hypothesize that transient disruption and recovery reflect a switch from HPC-dependent allocentric navigation (learning places) to dorsal striatum-dependent egocentric spatial navigation (learning routes to a location). Whatever the navigation strategy, these results demonstrate that the HPC is not required for rats to find food in different locations using circadian phase as a discriminative cue.",Neurobiol Learn Mem,136,,236-243,10.1016/j.nlm.2016.09.004
"D. Colombo, S. Serino, C. Tuena, E. Pedroli, A. Dakanalis, P. Cipresso and G. Riva",2017,Egocentric and allocentric spatial reference frames in aging: A systematic review,"Aging affects many aspects of everyday living, such as autonomy, security and quality of life. Among all, spatial memory and spatial navigation show a gradual but noticeable decline, as a result of both neurobiological changes and the general slowing down of cognitive functioning. We conducted a systematic review using the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) guidelines to identify studies that specifically investigated the role of allocentric and egocentric frames in healthy aging. Concerning spatial navigation, our results showed a preservation of egocentric strategies, along with specific impairments in the use of allocentric and switching abilities. Regarding spatial memory, instead, outcomes were more divergent and not frame-specific. With this perspective, spatial impairments were discussed considering the cognitive profile of mild cognitive impairment (MCI) and Alzheimer's Disease (AD).",Neuroscience and Biobehavioral Reviews,80,,605-621,10.1016/j.neubiorev.2017.07.012
"E. Coluccia, I. C. Mammarella, R. De Beni, M. Ittyerah and C. Cornoldi",2007,"Remembering object position in the absence of vision: egocentric, allocentric, and egocentric decentred frames of reference","In three experiments we examined whether memory for object locations in the peri-personal space in the absence of vision is affected by the correspondence between encoding and test either of the body position or of the reference point. In particular, the study focuses on the distinction between different spatial representations, by using a paradigm in which participants are asked to relocate objects explored haptically. Three frames of reference were systematically compared. In experiment 1, participants relocated the objects either from the same position of learning by taking as reference their own body (centred egocentric condition) or from a 90 degrees decentred position (allocentric condition). Performance was measured in terms of linear distance errors and angular distance errors. Results revealed that the allocentric condition was more difficult than the centred egocentric condition. In experiment 2, participants performed either the centred egocentric condition or a decentred egocentric condition, in which the body position during the test was the same as at encoding (egocentric) but the frame of reference was based on a point decentred by 90 degrees. The decentred egocentric condition was found to be more difficult than the centred egocentric condition. Finally, in experiment 3, participants performed in the decentred egocentric condition or the allocentric condition. Here, the allocentric condition was found to be more difficult than the decentred egocentric condition. Taken together, the results suggest that also in the peripersonal space and in the absence of vision different frames of reference can be distinguished. In particular, the decentred egocentric condition involves a frame of reference which seems to be neither allocentric nor totally egocentric.",Perception,36,6,850-864,10.1068/p5621
"G. Committeri, G. Galati, A. L. Paradis, L. Pizzamiglio, A. Berthoz and D. LeBihan",2004,"Reference frames for spatial cognition: Different brain areas are involved in viewer-, object-, and landmark-centered judgments about object location","Functional magnetic resonance imaging was used to compare the neural correlates of three different types of spatial coding, which are implicated in crucial cognitive functions of our everyday life, such as visuomotor coordination and orientation in topographical space. By manipulating the requested spatial reference during a task of relative distance estimation, we directly compared viewer-centered, object-centered, and landmark-centered spatial coding of the same realistic 3-D information. Common activation was found in bilateral parietal, occipital, and right frontal premotor regions. The retrosplenial and ventromedial occipital - temporal cortex ( and parts of the parietal and occipital cortex) were significantly more activated during the landmark-centered condition. The ventrolateral occipital - temporal cortex was particularly involved in object-centered coding. Results strongly demonstrate that viewer-centered ( egocentric) coding is restricted to the dorsal stream and connected frontal regions, whereas a coding centered on external references requires both dorsal and ventral regions, depending on the reference being a movable object or a landmark.",Journal of Cognitive Neuroscience,16,9,1517-1535,Doi 10.1162/0898929042568550
"G. Committeri, L. Piccardi, G. Galati and C. Guariglia",2015,Where did you left Piazza del Popolo? At your right temporo-parietal junction,"Humans have an advanced ability to recall places and scenes from memory, which they scan with their mind's eye in order to cope with daily demands such as navigating and learning new environments. In the striking neurological syndrome called representational or imaginal neglect, patients with right brain damage fail to report contralesional, left-sided elements of familiar places relative to their imaginary vantage point. Notwithstanding descriptions of single cases of representational neglect dissociated from perceptual or visual neglect, it is still unknown whether this disorder is due to specific brain lesions. Here we show that the ability to properly recall and inspect places from memory is supported by a neural network dissociated from that necessary to properly scan single objects from memory or the external visual world. Lesion-symptoms mapping of 40 right-damaged patients with and without imaginal neglect identified a peak region located at the posterior junction between the parietal and temporal lobes (pTPJ), where the angular and supramarginal gyri abut on the posterior temporal cortex. This region is known to support first-person perspective transformations and is connected with systems relevant for navigation and retrieval from autobiographical memory. Our results provide new insights on human spatial memory and imagery and their relationship with visuospatial attention, directly affecting recent neural and computational models.",Cortex; a journal devoted to the study of the nervous system and behavior,73,,106-111,
"B. S. Cooper, J. C. Yuille and M. A. Kennedy",2002,Divergent perspectives in prostitutes' autobiographical memories: Trauma and dissociation,"Examined distinctions between field and observer perspectives of an event. 36 female prostitutes (aged 19-59 yrs) completed interviews concerning 3 different autobiographical memories. Each memory was assessed concerning peritraumatic dissociative symptoms, trait dissociation levels, the perspective taken, and the quantity of detail. Also examined was current posttraumatic stress disorder (PTSD) symptomatology. Results show that extreme memorial variability was found both within and across the types of reported memories and perspectives. Dissociation at the time of both sexual and non-sexual traumas was significantly related to total PTSD symptomatology. There was a significant relation between dissociating during sexual trauma and subsequent avoidance symptoms, but not in terms of intrusion symptoms. Subjects' trait dissociative tendencies were significantly related to their state dissociative reactions during sexual traumas. All 3 types of memories, and, in particular, traumatic memories, that were perceived from an observer perspective contained significantly higher levels of state dissociation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Journal of Trauma & Dissociation,3,3,75-95,
"G. Coughlan, E. Flanagan, S. Jeffs, M. Bertoux, H. Spiers, E. Mioshi and M. Hornberger",2018,Diagnostic relevance of spatial orientation for vascular dementia: A case study,"Spatial orientation is emerging as an early and reliable cognitive biomarker of Alzheimer's disease (AD) pathophysiology. However, no evidence exists as to whether spatial orientation is also affected in vascular dementia (VaD).ObjectiveTo examine allocentric (map-based) and egocentric (viewpoint-based) spatial orientation in an early stage VaD case.MethodsA spatial test battery was administered following clinical and neuropsychological cognitive evaluation.ResultsDespite the patient's complaints, little evidence of episodic memory deficits were detected when cueing was provided to overcome executive dysfunction. Similarly, medial temporal lobe-mediated allocentric orientation was intact. By contrast, medial parietal-mediated egocentric orientation was impaired, despite normal performance on standard visuospatial tasks.ConclusionTo our knowledge, this is the first in-depth investigation of spatial orientation deficits in VaD. Isolated egocentric deficits were observed. This differs from AD orientation deficits which encompass both allocentric and egocentric orientation deficits. A combination of egocentric orientation and executive function tests could serve as a promising cognitive marker for VaD pathophysiology.",Dementia & neuropsychologia,12,1,85-91,10.1590/1980-57642018dn12-010013
"C. Coughlin, K. E. Lyons and S. Ghetti",2014,Remembering the past to envision the future in middle childhood: Developmental linkages between prospection and episodic memory,"Prospection is the mental simulation of future events and may promote positive, future-oriented action in the present. Despite evidence of a relation between prospection and episodic memory, there is a paucity of research comparing the developmental trajectories of each during middle childhood, a time of substantial episodic memory development. This study examined prospection and episodic memory in 5-, 7-, and 9-year-old children and adults (N =80). Participants provided narratives and introspective judgments about their experience of mentalizing past and future events. The development of prospection was more protracted than that of episodic memory, although individual differences in past event episodicity predicted prospection. Although both prospection and episodic memory were characterized by a rich subjective experience, future events were rated as more difficult to envision and were more frequently viewed in the third-person perspective. Although both prospection and episodic memory appear to improve during middle childhood, results suggest that prospection may require additional skills. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Cognitive Development,30,,96-110,10.1016/j.cogdev.2014.02.001
R. A. Crawley,2010,Closure of autobiographical memories: The effects of written recounting from first- or third-person visual perspective,"Autobiographical memories are recalled with varying degrees of psychological closure. Closure is a subjective assessment of how far a remembered experience feels resolved, and it has been suggested that one predictor of closure is the amount of emotional detail in the memory. Study 1 examined which aspect of emotional detail is important for closure, and showed that open and closed negative memories were distinguished by ratings of emotion evoked during recall, not by remembered emotion from the time of the event. The recall of open memories was accompanied by more intense, more negative, and less positive emotion than the recall of closed memories. Biased retelling of memories has been shown to influence closure and on the basis of evidence that third-person recall serves a distancing function, Study 2 examined whether instructions to repeatedly recount an open memory from a third-person perspective would increase closure compared with a single or repeated recounting from a first-person perspective. While repeated third-person recounting had the greatest influence on closure, there were also increases in the first-person recounting groups. The results suggest that closure can be increased by reporting memories in written narrative form, particularly if repeatedly expressed from the third-person perspective.","Memory (Hove, England)",18,8,900-917,10.1080/09658211.2010.524650
S. E. Crawley and C. C. French,2005,Field and observer viewpoint in remember-know memories of personal childhood events,"This experiment examined the viewpoint and other phenomenal characteristics of childhood memories based on both personal recollections and self-knowledge. Participants were asked to provide examples of remember, know, and uncertain memories, and to rate each memory on a number of dimensions. Remembered events were generally viewed from a field perspective, while known-about events were generally viewed from an observer perspective. In line with earlier research, remembered events received the highest ratings for sensory and contextual detail, emotional content, and memory accuracy, while known-about events were given the lowest ratings. The results are discussed with reference to their possible implications for memory recovery or enhancement techniques that ask people to adopt a different viewpoint. Consideration is given as to whether a switch to a field perspective might encourage the acceptance of suggested details or events.",Memory,13,7,673-681,10.1080/09658210444000296
I. C. Culcea and A. L. Freitas,2017,Subjective Importance as a Cue for Self-Reference,"We investigated whether people's judgments of self-reference could be influenced by cues of importance. Our investigation builds on evidence that information related to the self is processed in specialized ways and that implicit attributions affect how stimuli are interpreted. We hypothesized that the more important a trait descriptor was, the more likely participants would be to misremember it as having been presented in a self-referential manner. This hypothesis was tested using a source-memory task; subjective ratings of importance served as predictors of accuracy. In two experiments, logistic multilevel analyses supported our predictions, indicating that people use cues of importance when deciding if stimuli are self-referential. The results show that people do not rely solely on valence when making self-referential judgments; importance also can bias self-referential attributions. These findings have implications for social and autobiographical memory, including how people may assign responsibility for jointly produced actions.",Personality and Social Psychology Bulletin,43,8,1100-1111,10.1177/0146167217705111
"T. Dahoun, S. Eliez, F. Chen, D. Badoud, M. Schneider, F. Larøi and M. Debbane",2013,Action simulation in hallucination-prone adolescents,"Theoretical and empirical accounts suggest that impairments in self-other discrimination processes are likely to promote the expression of hallucinations. Studies using a variety of paradigms involving self-performed actions argue in favor of perspective taking confusion in hallucination-prone subjects. However, our understanding of such processes during adolescence is still at an early stage. The present study thus aims (1) to delineate the neural correlates sustaining mental simulation of actions involving self-performed actions (first-person perspective; 1PP) and other-performed actions (third-person perspective; 3PP) during adolescence (2) to identify atypical activation patterns during 1PP/3PP mental simulation of actions in hallucination-prone adolescents (3) to examine whether differential risk for schizophrenia (clinical vs. genetic) is also associated with differential impairments in the 1PP/3PP mental simulation of actions during adolescence. Twenty-two typically developing controls (Control group; 6 females), 12 hallucination-prone adolescents [auditory hallucination (AH) group; 7 females] and 13 adolescents with 22q11.2 Deletion Syndrome (22q11.2DS group; 4 females) were included in the study. During the fMRI task, subjects were presented with a cue (self-other priming cues) indicating to perform the task using either a first person perspective (“you”-1PP) or a third person perspective (“best friend”-3PP) and then they were asked to mentally simulate actions based on the type of cue. Hallucination-proneness was assessed using a self-report questionnaire [Cardiff Anomalous Perception Scale (CAPS)]. Our results indicated that atypical patterns of cerebral activation, particularly in the key areas of self-other distinction, were found in both groups at risk for auditory hallucinations (AHs and 22q11.2DS). More precisely, adolescents in the AH group presented decreased activations in the right middle occipital gyrus BA19, left cingulate gyrus BA31, and right precuneus BA31 for the 3PP > 1PP contrast. Adolescents in the 22q11.2DS group presented decreased activations in the right superior occipital gyrus BA19, left caudate tail and left precuneus BA7 for the 3PP > 1PP contrast. In comparison to the Control group, only the 22q11.2DS adolescents showed a decreased activation for other-related cues (prime other > prime self contrast) in areas of visual imagery, episodic memory and social cognition. This study characterizes the neural correlates of mental imagery for actions during adolescence, and suggests that a differential risk for hallucination-proneness (clinical vs. genetic) is associated to similar patterns of atypical activations in key areas sustaining self-other discrimination processes. These observations may provide relevant information for future research and prevention strategies with regards to hallucination-proneness during adolescence. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Frontiers in Human Neuroscience,7,,13,10.3389/fnhum.2013.00329
"H. C. Dai, K. L. Milkman and J. Riis",2014,The Fresh Start Effect: Temporal Landmarks Motivate Aspirational Behavior,"The popularity of New Year's resolutions suggests that people are more likely to tackle their goals immediately following salient temporal landmarks. If true, this little-researched phenomenon has the potential to help people overcome important willpower problems that often limit goal attainment. Across three archival field studies, we provide evidence of a fresh start effect. We show that Google searches for the term diet (Study 1), gym visits (Study 2), and commitments to pursue goals (Study 3) all increase following temporal landmarks (e. g., the outset of a new week, month, year, or semester; a birthday; a holiday). We propose that these landmarks demarcate the passage of time, creating many new mental accounting periods each year, which relegate past imperfections to a previous period, induce people to take a big-picture view of their lives, and thus motivate aspirational behaviors.",Management Science,60,10,2563-2582,10.1287/mnsc.2014.1901
"A. D'Argembeau, C. Comblain and M. Van der Linden",2003,"Phenomenal characteristics of autobiographical memories for positive, negative, and neutral events","Investigated memory qualities for positive, negative, and neutral autobiographical events. 101 participants (aged 18-32 yrs) recalled two personal experiences of each type and then rated their memories on several characteristics (e.g. sensorial and contextual details). They also reported whether they 'see' the events in their memories from their own perspective ('field' memories) or whether they 'see' the self engaged in the event as an observer would ('observer' memories). Positive memories contained more sensorial (visual, smell, taste) and contextual (location, time) details than both negative and neutral events, whereas negative and neutral memories did not differ on most dimensions. Positive and negative events were more often recollected with a field perspective than neutral events. Finally, participants were classified in four groups according to the repressive coping style framework. Emotional memories of repressors were not less detailed than those of the other groups. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Applied Cognitive Psychology,17,3,281-294,10.1002/acp.856
A. D'Argembeau and M. Van der Linden,2012,Predicting the phenomenology of episodic future thoughts,"Recent findings suggest that multiple event properties contribute to shape the phenomenology of episodic future thoughts, but the specific role of each property is not yet fully understood. This study shows that different phenomenological features are predicted by distinct event properties. The vividness of an episodic future thought largely depends on the familiarity of its constitutive elements (i.e., the envisioned location, persons and objects), while the visual perspective adopted is instead related to the temporal distance of the imagined event. Cognitive feelings such as the sense of pre-experiencing the future depend on sensory-perceptual qualities, and are further modulated by the personal importance attributed to the event. These findings suggest that the essence of episodic future thought-the sensation of mentally visiting one's personal future-lies, in part, in the relevance of imagined events with respect to personal goals.",Conscious Cogn,21,3,1198-1206,10.1016/j.concog.2012.05.004
