Author(s),Year,Title,Journal,Volume,Issue,Abstract,Pages
"T. I. Brown, R. S. Ross, S. M. Tobyne and C. E. Stern",2012,Cooperative interactions between hippocampal and striatal systems support flexible navigation,Neuroimage,60,2,,1316-1330
"J. Bullens, K. Igloi, A. Berthoz, A. Postma and L. Rondi-Reig",2010,Developmental time course of the acquisition of sequential egocentric and allocentric navigation strategies,Journal of Experimental Child Psychology,107,3,,337-350
N. Burgess,2008,Spatial cognition and the brain,Ann N Y Acad Sci,1124,,"Recent advances in the understanding of spatial cognition are reviewed, focusing on memory for locations in large-scale space and on those advances inspired by single-unit recording and lesion studies in animals. Spatial memory appears to be supported by multiple parallel representations, including egocentric and allocentric representations, and those updated to accommodate self-motion. The effects of these representations can be dissociated behaviorally, developmentally, and in terms of their neural bases. It is now becoming possible to construct a mechanistic neural-level model of at least some aspects of spatial memory and imagery, with the hippocampus and medial temporal lobe providing allocentric environmental representations, the parietal lobe egocentric representations, and the retrosplenial cortex and parieto-occipital sulcus allowing both types of representation to interact. Insights from this model include a common mechanism for the construction of spatial scenes in the service of both imagery and episodic retrieval and a role for the remainder of Papez's circuit in orienting the viewpoint used. In addition, it appears that hippocampal and striatal systems process different aspects of environmental layout (boundaries and local landmarks, respectively) and do so using different learning rules (incidental learning and associative reinforcement, respectively).",77-97
"N. Burgess, S. Becker, J. A. King and J. O'Keefe",2001,Memory for events and their spatial context: models and experiments,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",356,1413,"The computational role of the hippocampus in memory has been characterized as: (i) an index to disparate neocortical storage sites; (ii) a time-limited store supporting neocortical long-term memory; and (iii) a content-addressable associative memory. These ideas are reviewed and related to several general aspects of episodic memory, including the differences between episodic, recognition and semantic memory, and whether hippocampal lesions differentially affect recent or remote memories. Some outstanding questions remain, such as: what characterizes episodic retrieval as opposed to other forms of read-out from memory; what triggers the storage of an event memory; and what are the neural mechanisms involved? To address these questions a neural-level model of the medial temporal and parietal roles in retrieval of the spatial context of an event is presented. This model combines the idea that retrieval of the rich context of real-life events is a central characteristic of episodic memory, and the idea that medial temporal allocentric representations are used in long-term storage while parietal egocentric representations are used to imagine, manipulate and re-experience the products of retrieval. The model is consistent with the known neural representation of spatial information in the brain, and provides an explanation for the involvement of Papez's circuit in both the representation of heading direction and in the recollection of episodic information. Two experiments relating to the model are briefly described. A functional neuroimaging study of memory for the spatial context of life-like events in virtual reality provides support for the model's functional localization. A neuropsychological experiment suggests that the hippocampus does store an allocentric representation of spatial locations.",1493-1503
"N. Burgess, E. A. Maguire, H. J. Spiers and J. O'Keefe",2001,A temporoparietal and prefrontal network for retrieving the spatial context of lifelike events,Neuroimage,14,2,"Virtual reality (VR) and event-related functional magnetic resonance imaging were used to study memory for the spatial context of controlled but lifelike events. Subjects received a set of objects from two different people in two different places within a VR environment. Memory for the objects, and for where and from whom they were received was tested by putting the subject back into a place in the company of a person and giving a paired forced choice of objects. In four conditions objects had to be chosen according to different criteria: which was received in that place, which was received from that person, which object was recognized, and which object was widest. Event-related functional magnetic resonance imaging was performed during testing to identify areas involved in retrieval of the spatial context of an event. A network of areas was identified consisting of a temporoparietal pathway running between the precuneus and parahippocampi via retrosplenial cortex and the parieto-occipital sulcus, left hippocampus, bilateral posterior parietal, dorsolateral, ventrolateral and anterior prefrontal cortices, and the anterior cingulate. Of these areas the parahippocampal, right posterior parietal, and posteriodorsal medial parietal areas were specifically involved in retrieval of spatial context compared to retrieval of nonspatial context. The posterior activations are consistent with a model of long-term storage of allocentric representations in medial temporal regions with translation to body-centered and head-centered representations computed in right posterior parietal cortex and buffered in the temporoparietal pathway so as to provide an imageable representation in the precuneus. Prefrontal activations are consistent with strategic retrieval processes, including those required to overcome the interference between the highly similar events.",439-453
"N. Burgess, I. Trinkler, J. King, A. Kennedy and L. Cipolotti",2006,Impaired allocentric spatial memory underlying topographical disorientation,Reviews in the Neurosciences,17,01-Feb,,239-251
"P. Burns, C. Russell and J. Russell",2015,Preschool children's proto-episodic memory assessed by deferred imitation,"Memory (Hove, England)",23,8,"In two experiments, both employing deferred imitation, we studied the developmental origins of episodic memory in two- to three-year-old children by adopting a ""minimalist"" view of episodic memory based on its What-When-Where (""WWW"": spatiotemporal plus semantic) content. We argued that the temporal element within spatiotemporal should be the order/simultaneity of the event elements, but that it is not clear whether the spatial content should be egocentric or allocentric. We also argued that episodic recollection should be configural (tending towards all-or-nothing recall of the WWW elements). Our first deferred imitation experiment, using a two-dimensional (2D) display, produced superior-to-chance performance after 2.5 years but no evidence of configural memory. Moreover, performance did not differ from that on a What-What-What control task. Our second deferred imitation study required the children to reproduce actions on an object in a room, thereby affording layout-based spatial cues. In this case, not only was there superior-to-chance performance after 2.5 years but memory was also configural at both ages. We discuss the importance of allocentric spatial cues in episodic recall in early proto-episodic memory and reflect on the possible role of hippocampal development in this process.",1172-1192
"T. J. Bussey, R. Dias, E. Amin, J. L. Muir and J. P. Aggleton",2001,Perirhinal cortex and place-object conditional learning in the rat,Behavioral Neuroscience,115,4,,776-785
"T. J. Bussey, J. Duck, J. L. Muir and J. P. Aggleton",2000,Distinct patterns of behavioural impairments resulting from fornix transection or neurotoxic lesions of the perirhinal and postrhinal cortices in the rat,Behavioural Brain Research,111,01-Feb,"In 3 experiments with 36 male rats, the present study provides evidence that lesions of the fornix (FNX) and of the perirhinal/postrhinal cortex (PPRH), which both disconnect the hippocampus from other brain regions, can lead to distinct patterns of behavioral impairments on tests of spatial memory and spontaneous object recognition. For example, whereas FNX lesions impaired allocentric spatial delayed alternation in a T-maze but generally spared a test of spontaneous object recognition, PPRH lesions produced the opposite pattern of results. Indeed, on the T-maze task PPRH Ss significantly outperformed controls when the retention delay was increased to 60 sec. In addition, some evidence was found that contributions from both the FNX and PPRH may be required when object and spatial information must be integrated. In an object-in-place test, for example, PPRH Ss failed according to 2 measures, and FNX animals failed according to 1 measure, to discriminate objects that had remained in fixed locations from those that had exchanged locations with other objects. It is suggested that the PPRH, rather than being specialized for a particular type of associative learning, is important for processing complex visual stimuli. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",187-202
"T. J. Bussey, J. L. Muir and J. P. Aggleton",1999,Functionally dissociating aspects of event memory: The effects of combined perirhinal and postrhinal cortex lesions on object and place memory in the rat,The Journal of Neuroscience,19,1,"Reciprocal interactions between the hippocampus and the perirhinal and parahippocampal cortices form core components of a proposed temporal lobe memory system. For this reason, the involvement of the hippocampus in event memory is thought to depend on its connections with these cortical areas. 15 male rats served as Ss in this experiment. Contrary to these predictions, the authors found that N-methyl-D-aspartate (NMDA) induced lesions of the putative rat homologs of these cortical areas (perirhinal plus postrhinal cortices) did not impair performance on 2 allocentric spatial tasks highly sensitive to hippocampal dysfunction. Remarkably, for one of the tasks there was evidence of a facilitation of performance. The same cortical lesions did, however, disrupt spontaneous object recognition and object discrimination reversal learning but spared initial acquisition of the discrimination. This pattern of results reveals important dissociations between different aspects of memory within the temporal lobe. Furthermore, it shows that the perirhinal-postrhinal cortex is not a necessary route for spatial information reaching the hippocampus and that object familiarity–novelty detection depends on different neural substrates than do other aspects of event memory. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",495-502
"A. C. Butler, H. J. Rice, C. L. Wooldridge and D. C. Rubin",2016,Visual imagery in autobiographical memory: The role of repeated retrieval in shifting perspective,Consciousness and cognition,42,,"Recent memories are generally recalled from a first-person perspective whereas older memories are often recalled from a third-person perspective. We investigated how repeated retrieval affects the availability of visual information, and whether it could explain the observed shift in perspective with time. In Experiment 1, participants performed mini-events and nominated memories of recent autobiographical events in response to cue words. Next, they described their memory for each event and rated its phenomenological characteristics. Over the following three weeks, they repeatedly retrieved half of the mini-event and cue-word memories. No instructions were given about how to retrieve the memories. In Experiment 2, participants were asked to adopt either a first- or third-person perspective during retrieval. One month later, participants retrieved all of the memories and again provided phenomenology ratings. When first-person visual details from the event were repeatedly retrieved, this information was retained better and the shift in perspective was slowed.",237-253
"A. E. Cavanna, L. Bertero and S. L. Cavanna",2009,The functional neuroimaging of the precuneus,Neuroscience Imaging,2,4,"Over the last few years functional neuroimaging studies have started unravelling unexpected functional attributes for the precuneus, a previously neglected area located in the posteromedial parietal cortex. Multiple sources of evidence from fMRI and PET investigations suggest a central role for the precuneus in a wide spectrum of highly integrated tasks, including visuo-spatial imagery, episodic memory retrieval, and self-processing operations, namely first-person perspective taking and an experience of agency. Furthermore, the precuneus and surrounding structures within the posteromedial parietal region are thought to represent a crucial node in the 'default mode' system, a network of brain structures displaying high resting metabolic rate and transient deactivations during engagement in non self-referential tasks. Therefore, it has recently been proposed that the precuneus plays a pivotal role in the neural correlates of consciousness, engaged in self-related mental representations during rest. This hypothesis is consistent with the selective hypometabolism in the posteromedial cortex reported in a wide range of pathophysiological states characterised by altered consciousness, such as sleep, vegetative state, and pharmacological anaesthesia. Functional neuroimaging studies on neuropsychiatric populations showing disruption of the 'default mode' activity have recently added novel insights into the understanding of the behavioural correlates of the precuneus. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",161-175
A. E. Cavanna and M. R. Trimble,2006,The precuneus: A review of its functional anatomy and behavioural correlates,Brain: A Journal of Neurology,129,3,"Functional neuroimaging studies have started unravelling unexpected functional attributes for the posteromedial portion of the parietal lobe, the precuneus. This cortical area has traditionally received little attention, mainly because of its hidden location and the virtual absence of focal lesion studies. However, recent functional imaging findings in healthy subjects suggest a central role for the precuneus in a wide spectrum of highly integrated tasks, including visuo-spatial imagery, episodic memory retrieval and self-processing operations, namely first-person perspective taking and an experience of agency. Furthermore, precuneus and surrounding posteromedial areas are amongst the brain structures displaying the highest resting metabolic rates (hot spots) and are characterized by transient decreases in the tonic activity during engagement in non-self-referential goal-directed actions (default mode of brain function). Therefore, it has recently been proposed that precuneus is involved in the interwoven network of the neural correlates of self-consciousness, engaged in self-related mental representations during rest. This hypothesis is consistent with the selective hypometabolism in the posteromedial cortex reported in a wide range of altered conscious states, such as sleep, drug-induced anaesthesia and vegetative states. This review summarizes the current knowledge about the macroscopic and microscopic anatomy of precuneus, together with its wide-spread connectivity with both cortical and subcortical structures, as shown by connectional and neurophysiological findings in non-human primates, and links these notions with the multifaceted spectrum of its behavioural correlates. By means of a critical analysis of precuneus activation patterns in response to different mental tasks, this paper provides a useful conceptual framework for matching the functional imaging findings with the specific role(s) played by this structure in the higher-order cognitive functions in which it has been implicated. Specifically, activation patterns appear to converge with anatomical and connectivity data in providing preliminary evidence for a functional subdivision within the precuneus into an anterior region, involved in self-centred mental imagery strategies, and a posterior region, subserving successful episodic memory retrieval. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",564-583
M. Cerles and S. Rousset,2012,Bias in self-motion perceived speed can enhance episodic memory,Cognitive processing,13 Suppl 1,Suppl 1,"Prior experiences of a stimulus facilitate reprocessing of that stimulus on a subsequent occasion. This relative ease and speed with which information is processed is defined as fluency and can constitute a basis for memory judgment. Fluency can also be manipulated on line by perceptual bias (e.g., levels of noise), leading to an increase in recognition for items processed more fluently (e.g., items with less noise). Previous experiments using Remember-Know paradigm have shown an impact of perceptual fluency only on familiarity and not on recollection. Recent episodic memory models have postulated a strong link between episodic memory and spatial processes, especially with egocentric updating (Gomez et al. in Acta Psychol 132(3):221-227, 2009). The present experiment was conducted to determine whether self-motion fluency affects recognition performance and particularly has an impact on ""Remember"" responses. Thirty participants learned a 4-min path movie and then had to recognize among short paths if they were part of the learned path, followed by a Remember-Know procedure for recognized items. Self-motion fluency was manipulated with the presence of nimble acceleration applied on a small part of the recognition paths. Results show that the presence of a self-motion fluency increases significantly the proportion of remember responses solely on learned paths. This study spotlights for the first time a specific fluency effect on recollection and indicates an implication of egocentric-updating processing in episodic memory retrieval.",S121-S124
"D. Chan, L. M. Gallaher, K. Moodley, L. Minati, N. Burgess and T. Hartley",2016,The 4 Mountains Test: A Short Test of Spatial Memory with High Sensitivity for the Diagnosis of Pre-dementia Alzheimer's Disease,Journal of visualized experiments : JoVE,,116,"This protocol describes the administration of the 4 Mountains Test (4MT), a short test of spatial memory, in which memory for the topographical layout of four mountains within a computer-generated landscape is tested using a delayed match-to-sample paradigm. Allocentric spatial memory is assessed by altering the viewpoint, colors and textures between the initially presented and target images. Allocentric spatial memory is a key function of the hippocampus, one of the earliest brain regions to be affected in Alzheimer's disease (AD) and impairment of hippocampal function predates the onset of dementia. It was hypothesized that performance on the 4MT would aid the diagnosis of predementia AD, which manifests clinically as Mild Cognitive Impairment (MCI). The 4MT was applied to patients with MCI, stratified further based on cerebrospinal fluid (CSF) AD biomarker status (10 MCI biomarker positive, 9 MCI biomarker negative), and with mild AD dementia, as well as healthy controls. Comparator tests included tests of episodic memory and attention widely accepted as sensitive measures of early AD. Behavioral data were correlated with quantitative MRI measures of the hippocampus, precuneus and posterior cingulate gyrus. 4MT scores were significantly different between the two MCI groups (p = 0.001), with a test score of ≤8/15 associated with 100% sensitivity and 78% specificity for the classification of MCI with positive AD biomarkers, i.e., predementia AD. 4MT test scores correlated with hippocampal volume (r = 0.42) and cortical thickness of the precuneus (r = 0.55). In conclusion, the 4MT is effective in identifying the early stages of AD. The short duration, easy application and scoring, and favorable psychometric properties of the 4MT fulfil the need for a simple but accurate diagnostic test for predementia AD.",
"L. J. Chareyron, P. Banta Lavenex, D. G. Amaral and P. Lavenex",2017,Functional organization of the medial temporal lobe memory system following neonatal hippocampal lesion in rhesus monkeys,Brain structure & function,222,9,"Hippocampal damage in adult humans impairs episodic and semantic memory, whereas hippocampal damage early in life impairs episodic memory but leaves semantic learning relatively preserved. We have previously shown a similar behavioral dissociation in nonhuman primates. Hippocampal lesion in adult monkeys prevents allocentric spatial relational learning, whereas spatial learning persists following neonatal lesion. Here, we quantified the number of cells expressing the immediate-early gene c-fos, a marker of neuronal activity, to characterize the functional organization of the medial temporal lobe memory system following neonatal hippocampal lesion. Ninety minutes before brain collection, three control and four adult monkeys with bilateral neonatal hippocampal lesions explored a novel environment to activate brain structures involved in spatial learning. Three other adult monkeys with neonatal hippocampal lesions remained in their housing quarters. In unlesioned monkeys, we found high levels of c-fos expression in the intermediate and caudal regions of the entorhinal cortex, and in the perirhinal, parahippocampal, and retrosplenial cortices. In lesioned monkeys, spatial exploration induced an increase in c-fos expression in the intermediate field of the entorhinal cortex, the perirhinal, parahippocampal, and retrosplenial cortices, but not in the caudal entorhinal cortex. These findings suggest that different regions of the medial temporal lobe memory system may require different types of interaction with the hippocampus in support of memory. The caudal perirhinal cortex, the parahippocampal cortex, and the retrosplenial cortex may contribute to spatial learning in the absence of functional hippocampal circuits, whereas the caudal entorhinal cortex may require hippocampal output to support spatial learning.",3899-3914
"G. F. Chen, L. L. Liu, J. F. Cui, T. Chen, X. J. Qin, J. C. Gan, B. Bi, D. L. Neumann, D. H. K. Shum, Y. Wang and R. C. K. Chan",2017,Life review therapy enhances mental time travel in patients with schizophrenia,Psychiatry Res,258,,"Mental Time Travel (MTT) is the ability of individuals to project themselves to the past or to the future. Studies have shown that schizophrenia (SZ) patients are impaired in MTT. The present study aimed to examine whether MTT in patients with SZ can be improved through Life Review Therapy. Fifty patients with SZ were randomly assigned to the training (SZ-training) or control (SZ-control) group. Whereas the SZ-training group received four-week Life Review Therapy in addition to conventional treatment, the SZ-control group only received conventional treatment. MTT, emotional status, life satisfaction and cognitive functions were assessed before and after the training. We also recruited 25 matched healthy controls to complete all the assessments at baseline. After training, the SZ-training group showed higher specificity and more field perspective than the SZ-control group. No significant difference was found between the SZ-training group post-training assessment and the healthy controls. The SZ-training group also showed significant improvements in emotional expression, semantic memory and verbal fluency, but the SZ-control group did not show such improvements. These results indicated that Life Review Therapy is effective in improving MTT of SZ patients.",145-152
Y. Chen and J. D. Crawford,2017,Cortical Activation during Landmark-Centered vs. Gaze-Centered Memory of Saccade Targets in the Human: An FMRI Study,Front Syst Neurosci,11,,"A remembered saccade target could be encoded in egocentric coordinates such as gaze-centered, or relative to some external allocentric landmark that is independent of the target or gaze (landmark-centered). In comparison to egocentric mechanisms, very little is known about such a landmark-centered representation. Here, we used an event-related fMRI design to identify brain areas supporting these two types of spatial coding (i.e., landmark-centered vs. gaze-centered) for target memory during the Delay phase where only target location, not saccade direction, was specified. The paradigm included three tasks with identical display of visual stimuli but different auditory instructions: Landmark Saccade (remember target location relative to a visual landmark, independent of gaze), Control Saccade (remember original target location relative to gaze fixation, independent of the landmark), and a non-spatial control, Color Report (report target color). During the Delay phase, the Control and Landmark Saccade tasks activated overlapping areas in posterior parietal cortex (PPC) and frontal cortex as compared to the color control, but with higher activation in PPC for target coding in the Control Saccade task and higher activation in temporal and occipital cortex for target coding in Landmark Saccade task. Gaze-centered directional selectivity was observed in superior occipital gyrus and inferior occipital gyrus, whereas landmark-centered directional selectivity was observed in precuneus and midposterior intraparietal sulcus. During the Response phase after saccade direction was specified, the parietofrontal network in the left hemisphere showed higher activation for rightward than leftward saccades. Our results suggest that cortical activation for coding saccade target direction relative to a visual landmark differs from gaze-centered directional selectivity for target memory, from the mechanisms for other types of allocentric tasks, and from the directionally selective mechanisms for saccade planning and execution.",44
"Y. Chen, S. Monaco, P. Byrne, X. Yan, D. Y. Henriques and J. D. Crawford",2014,Allocentric versus egocentric representation of remembered reach targets in human cortex,J Neurosci,34,37,"The location of a remembered reach target can be encoded in egocentric and/or allocentric reference frames. Cortical mechanisms for egocentric reach are relatively well described, but the corresponding allocentric representations are essentially unknown. Here, we used an event-related fMRI design to distinguish human brain areas involved in these two types of representation. Our paradigm consisted of three tasks with identical stimulus display but different instructions: egocentric reach (remember absolute target location), allocentric reach (remember target location relative to a visual landmark), and a nonspatial control, color report (report color of target). During the delay phase (when only target location was specified), the egocentric and allocentric tasks elicited widely overlapping regions of cortical activity (relative to the control), but with higher activation in parietofrontal cortex for egocentric task and higher activation in early visual cortex for allocentric tasks. In addition, egocentric directional selectivity (target relative to gaze) was observed in the superior occipital gyrus and the inferior occipital gyrus, whereas allocentric directional selectivity (target relative to a visual landmark) was observed in the inferior temporal gyrus and inferior occipital gyrus. During the response phase (after movement direction had been specified either by reappearance of the visual landmark or a pro-/anti-reach instruction), the parietofrontal network resumed egocentric directional selectivity, showing higher activation for contralateral than ipsilateral reaches. These results show that allocentric and egocentric reach mechanisms use partially overlapping but different cortical substrates and that directional specification is different for target memory versus reach response.",12515-12526
"Y. Chen, S. Monaco and J. D. Crawford",2018,Neural substrates for allocentric-to-egocentric conversion of remembered reach targets in humans,Eur J Neurosci,47,8,"Targets for goal-directed action can be encoded in allocentric coordinates (relative to another visual landmark), but it is not known how these are converted into egocentric commands for action. Here, we investigated this using a slow event-related fMRI paradigm, based on our previous behavioural finding that the allocentric-to-egocentric (Allo-Ego) conversion for reach is performed at the first possible opportunity. Participants were asked to remember (and eventually reach towards) the location of a briefly presented target relative to another visual landmark. After a first memory delay, participants were forewarned by a verbal instruction if the landmark would reappear at the same location (potentially allowing them to plan a reach following the auditory cue before the second delay), or at a different location where they had to wait for the final landmark to be presented before response, and then reach towards the remembered target location. As predicted, participants showed landmark-centred directional selectivity in occipital-temporal cortex during the first memory delay, and only developed egocentric directional selectivity in occipital-parietal cortex during the second delay for the 'Same cue' task, and during response for the 'Different cue' task. We then compared cortical activation between these two tasks at the times when the Allo-Ego conversion occurred, and found common activation in right precuneus, right presupplementary area and bilateral dorsal premotor cortex. These results confirm that the brain converts allocentric codes to egocentric plans at the first possible opportunity, and identify the four most likely candidate sites specific to the Allo-Ego transformation for reaches.",901-917
Z. Cheng and Y. She,2018,The effects of autobiographical memory and visual perspective on working memory,"Memory (Hove, England)",26,7,"The present research aims to explore whether recalling and writing about autobiographical memory from different perspectives (first-person perspective vs. third-person perspective) could affect cognitive function. The participants first performed a working memory task to evaluate their working memory capacity as a baseline and then were instructed to recall (Study 1) or write about (Study 2) personal events (failures vs. successes) from the first-person perspective or the third-person perspective. Finally, they performed the working memory task again. The results suggested that autobiographical memory and perspective influence working memory interactively. When recalling a success, the participants who recalled from the third-person perspective performed better than those who recalled from the first-person perspective on the working memory capacity task; when recalling a failure, the opposite was true.",913-921
F. Chersi and N. Burgess,2015,The Cognitive Architecture of Spatial Navigation: Hippocampal and Striatal Contributions,Neuron,88,1,"Spatial navigation can serve as a model system in cognitive neuroscience, in which specific neural representations, learning rules, and control strategies can be inferred from the vast experimental literature that exists across many species, including humans. Here, we review this literature, focusing on the contributions of hippocampal and striatal systems, and attempt to outline a minimal cognitive architecture that is consistent with the experimental literature and that synthesizes previous related computational modeling. The resulting architecture includes striatal reinforcement learning based on egocentric representations of sensory states and actions, incidental Hebbian association of sensory information with allocentric state representations in the hippocampus, and arbitration of the outputs of both systems based on confidence/uncertainty in medial prefrontal cortex. We discuss the relationship between this architecture and learning in model-free and model-based systems, episodic memory, imagery, and planning, including some open questions and directions for further experiments.",64-77
"C. Chu, J. M. Buchman-Schmitt and T. E. Joiner",2015,Autobiographical memory perspectives in task and suicide attempt recall: A study of young adults with and without symptoms of suicidality,Cognitive Therapy and Research,39,6,"Memories recalled from the field, or first person, perspective tend to be specific, more detail-oriented, and emotional. In contrast, memories from the observer, or third person, perspective, tend to be more general, less detail-oriented and emotional. Research suggests that individuals with a history of suicidality exhibit over-general autobiographical memories (i.e., lacking in detail). We propose that individuals with a history of suicidality may encode and recall memories more from the observer perspective, which is associated with recalling fewer details about events. This hypothesis was tested by examining the memory perspectives of 107 young adults with and without symptoms of suicidality during task and event recall. Compared to controls, suicide attempters recalled tasks and neutral events significantly less from the observer perspective and more from the field perspective; suicide ideators and controls were not significantly different on recall perspectives. No significant differences in negative event and suicide attempt recall were found across groups. Results indicated that suicide attempters exhibited a recall bias towards first person, internally focused memories. Limitations and future directions are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",766-775
"E. Ciaramelli, R. S. Rosenbaum, S. Solcz, B. Levine and M. Moscovitch",2010,Mental space travel: Damage to posterior parietal cortex prevents egocentric navigation and reexperiencing of remote spatial memories,"Journal of Experimental Psychology: Learning, Memory, and Cognition",36,3,"The ability to navigate in a familiar environment depends on both an intact mental representation of allocentric spatial information and the integrity of systems supporting complementary egocentric representations. Although the hippocampus has been implicated in learning new allocentric spatial information, converging evidence suggests that the posterior parietal cortex (PPC) might support egocentric representations. To date, however, few studies have examined long-standing egocentric representations of environments learned long ago. Here we tested 7 patients with focal lesions in PPC and 12 normal controls in remote spatial memory tasks, including 2 tasks reportedly reliant on allocentric representations (distance and proximity judgments) and 2 tasks reportedly reliant on egocentric representations (landmark sequencing and route navigation; see Rosenbaum, Ziegler, Winocur, Grady, & Moscovitch, 2004). Patients were unimpaired in distance and proximity judgments. In contrast, they all failed in route navigation, and left-lesioned patients also showed marginally impaired performance in landmark sequencing. Patients' subjective experience associated with navigation was impoverished and disembodied compared with that of the controls. These results suggest that PPC is crucial for accessing remote spatial memories within an egocentric reference frame that enables both navigation and reexperiencing. Additionally, PPC was found to be necessary to implement specific aspects of allocentric navigation with high demands on spontaneous retrieval. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",619-634
"E. Cole, R. E. Mistlberger, D. Merza, L. J. Trigiani, D. Madularu, A. Simundic and D. G. Mumby",2016,Circadian time-place (or time-route) learning in rats with hippocampal lesions,Neurobiol Learn Mem,136,,"Circadian time-place learning (TPL) is the ability to remember both the place and biological time of day that a significant event occurred (e.g., food availability). This ability requires that a circadian clock provide phase information (a time tag) to cognitive systems involved in linking representations of an event with spatial reference memory. To date, it is unclear which neuronal substrates are critical in this process, but one candidate structure is the hippocampus (HPC). The HPC is essential for normal performance on tasks that require allocentric spatial memory and exhibits circadian rhythms of gene expression that are sensitive to meal timing. Using a novel TPL training procedure and enriched, multidimensional environment, we trained rats to locate a food reward that varied between two locations relative to time of day. After rats acquired the task, they received either HPC or SHAM lesions and were re-tested. Rats with HPC lesions were initially impaired on the task relative to SHAM rats, but re-attained high scores with continued testing. Probe tests revealed that the rats were not using an alternation strategy or relying on light-dark transitions to locate the food reward. We hypothesize that transient disruption and recovery reflect a switch from HPC-dependent allocentric navigation (learning places) to dorsal striatum-dependent egocentric spatial navigation (learning routes to a location). Whatever the navigation strategy, these results demonstrate that the HPC is not required for rats to find food in different locations using circadian phase as a discriminative cue.",236-243
"D. Colombo, S. Serino, C. Tuena, E. Pedroli, A. Dakanalis, P. Cipresso and G. Riva",2017,Egocentric and allocentric spatial reference frames in aging: A systematic review,Neuroscience and Biobehavioral Reviews,80,,,605-621
"E. Coluccia, I. C. Mammarella, R. De Beni, M. Ittyerah and C. Cornoldi",2007,"Remembering object position in the absence of vision: egocentric, allocentric, and egocentric decentred frames of reference",Perception,36,6,"In three experiments we examined whether memory for object locations in the peri-personal space in the absence of vision is affected by the correspondence between encoding and test either of the body position or of the reference point. In particular, the study focuses on the distinction between different spatial representations, by using a paradigm in which participants are asked to relocate objects explored haptically. Three frames of reference were systematically compared. In experiment 1, participants relocated the objects either from the same position of learning by taking as reference their own body (centred egocentric condition) or from a 90 degrees decentred position (allocentric condition). Performance was measured in terms of linear distance errors and angular distance errors. Results revealed that the allocentric condition was more difficult than the centred egocentric condition. In experiment 2, participants performed either the centred egocentric condition or a decentred egocentric condition, in which the body position during the test was the same as at encoding (egocentric) but the frame of reference was based on a point decentred by 90 degrees. The decentred egocentric condition was found to be more difficult than the centred egocentric condition. Finally, in experiment 3, participants performed in the decentred egocentric condition or the allocentric condition. Here, the allocentric condition was found to be more difficult than the decentred egocentric condition. Taken together, the results suggest that also in the peripersonal space and in the absence of vision different frames of reference can be distinguished. In particular, the decentred egocentric condition involves a frame of reference which seems to be neither allocentric nor totally egocentric.",850-864
"G. Committeri, G. Galati, A. L. Paradis, L. Pizzamiglio, A. Berthoz and D. LeBihan",2004,"Reference frames for spatial cognition: Different brain areas are involved in viewer-, object-, and landmark-centered judgments about object location",Journal of Cognitive Neuroscience,16,9,,1517-1535
"G. Committeri, L. Piccardi, G. Galati and C. Guariglia",2015,"Where did you ""left"" Piazza del Popolo? At your ""right"" temporo-parietal junction",Cortex; a journal devoted to the study of the nervous system and behavior,73,,"Humans have an advanced ability to recall places and scenes from memory, which they scan with their ""mind's eye"" in order to cope with daily demands such as navigating and learning new environments. In the striking neurological syndrome called representational or imaginal neglect, patients with right brain damage fail to report contralesional, left-sided elements of familiar places relative to their imaginary vantage point. Notwithstanding descriptions of single cases of representational neglect dissociated from perceptual or visual neglect, it is still unknown whether this disorder is due to specific brain lesions. Here we show that the ability to properly recall and inspect places from memory is supported by a neural network dissociated from that necessary to properly scan single objects from memory or the external visual world. Lesion-symptoms mapping of 40 right-damaged patients with and without imaginal neglect identified a peak region located at the posterior junction between the parietal and temporal lobes (pTPJ), where the angular and supramarginal gyri abut on the posterior temporal cortex. This region is known to support first-person perspective transformations and is connected with systems relevant for navigation and retrieval from autobiographical memory. Our results provide new insights on human spatial memory and imagery and their relationship with visuospatial attention, directly affecting recent neural and computational models.",106-111
